follower_id,followee_id
10001,10002
10001,10003
10001,10004
10001,10005
10001,10006
10001,10007
10001,10008
10001,10009
10001,10010
10001,10011
10001,10012
10001,10013
10001,10014
10001,10015
10001,10016
10001,10017
10001,10018
10001,10019
10001,10020
10001,10021
10001,10022
10001,10023
10001,10024
10001,10025
10001,10026
10001,10027
10001,10028
10001,10029
10001,10030
10001,10031
10001,10032
10001,10033
10001,10034
10001,10035
10001,10036
10001,10037
10001,10038
10001,10039
10001,10040
10001,10041
10001,10042
10001,10043
10001,10044
10001,10045
10001,10046
10001,10047
10001,10048
10001,10049
10001,10050
10001,10051
10001,10052
10001,10053
10001,10054
10001,10055
10001,10056
10001,10057
10001,10058
10001,10059
10001,10060
10001,10061
10001,10062
10001,10063
10001,10064
10001,10065
10001,10066
10001,10067
10001,10068
10001,10069
10001,10070
10001,10071
10001,10072
10001,10073
10001,10074
10001,10075
10001,10076
10001,10077
10001,10078
10001,10079
10001,10080
10001,10081
10001,10082
10001,10083
10001,10084
10001,10085
10001,10086
10001,10087
10001,10088
10001,10089
10001,10090
10001,10091
10001,10092
10001,10093
10001,10094
10001,10095
10001,10096
10001,10097
10001,10098
10001,10099
10001,10100
10001,10101
10001,10102
10001,10103
10001,10104
10001,10105
10001,10106
10001,10107
10001,10108
10001,10109
10001,10110
10001,10111
10001,10112
10001,10113
10001,10114
10001,10115
10001,10116
10001,10117
10001,10118
10001,10119
10001,10120
10001,10121
10001,10122
10001,10123
10001,10124
10001,10125
10001,10126
10001,10127
10001,10128
10001,10129
10001,10130
10001,10131
10001,10132
10001,10133
10001,10134
10001,10135
10001,10136
10001,10137
10001,10138
10001,10139
10001,10140
10001,10141
10001,10142
10001,10143
10001,10144
10001,10145
10001,10146
10001,10147
10001,10148
10001,10149
10001,10150
10001,10151
10001,10152
10001,10153
10001,10154
10001,10155
10001,10156
10001,10157
10001,10158
10001,10159
10001,10160
10001,10161
10001,10162
10001,10163
10001,10164
10001,10165
10001,10166
10001,10167
10001,10168
10001,10169
10001,10170
10001,10171
10001,10172
10001,10173
10001,10174
10001,10175
10001,10176
10001,10177
10001,10178
10001,10179
10001,10180
10001,10181
10001,10182
10001,10183
10001,10184
10001,10185
10001,10186
10001,10187
10001,10188
10001,10189
10001,10190
10001,10191
10001,10192
10001,10193
10001,10194
10001,10195
10001,10196
10001,10197
10001,10198
10001,10199
10001,10200
10001,10201
10001,10202
10001,10203
10001,10204
10001,10205
10001,10206
10001,10207
10001,10208
10001,10209
10001,10210
10001,10211
10001,10212
10001,10213
10001,10214
10001,10215
10001,10216
10001,10217
10001,10218
10001,10219
10001,10220
10001,10221
10001,10222
10001,10223
10001,10224
10001,10225
10001,10226
10001,10227
10001,10228
10001,10229
10001,10230
10001,10231
10001,10232
10001,10233
10001,10234
10001,10235
10001,10236
10001,10237
10001,10238
10001,10239
10001,10240
10001,10241
10001,10242
10001,10243
10001,10244
10001,10245
10001,10246
10001,10247
10001,10248
10001,10249
10001,10250
10001,10251
10001,10252
10001,10253
10001,10254
10001,10255
10001,10256
10001,10257
10001,10258
10001,10259
10001,10260
10001,10261
10001,10262
10001,10263
10001,10264
10001,10265
10001,10266
10001,10267
10001,10268
10001,10269
10001,10270
10001,10271
10001,10272
10001,10273
10001,10274
10001,10275
10001,10276
10001,10277
10001,10278
10001,10279
10001,10280
10001,10281
10001,10282
10001,10283
10001,10284
10001,10285
10001,10286
10001,10287
10001,10288
10001,10289
10001,10290
10001,10291
10001,10292
10001,10293
10001,10294
10001,10295
10001,10296
10001,10297
10001,10298
10001,10299
10001,10300
10001,10301
10001,10302
10001,10303
10001,10304
10001,10305
10001,10306
10001,10307
10001,10308
10001,10309
10001,10310
10001,10311
10001,10312
10001,10313
10001,10314
10001,10315
10001,10316
10001,10317
10001,10318
10001,10319
10001,10320
10001,10321
10001,10322
10001,10323
10001,10324
10001,10325
10001,10326
10001,10327
10001,10328
10001,10329
10001,10330
10001,10331
10001,10332
10001,10333
10001,10334
10001,10335
10001,10336
10001,10337
10001,10338
10001,10339
10001,10340
10001,10341
10001,10342
10001,10343
10001,10344
10001,10345
10001,10346
10001,10347
10001,10348
10001,10349
10001,10350
10001,10351
10001,10352
10001,10353
10001,10354
10001,10355
10001,10356
10001,10357
10001,10358
10001,10359
10001,10360
10001,10361
10001,10362
10001,10363
10001,10364
10001,10365
10001,10366
10001,10367
10001,10368
10001,10369
10001,10370
10001,10371
10001,10372
10001,10373
10001,10374
10001,10375
10001,10376
10001,10377
10001,10378
10001,10379
10001,10380
10001,10381
10001,10382
10001,10383
10001,10384
10001,10385
10001,10386
10001,10387
10001,10388
10001,10389
10001,10390
10001,10391
10001,10392
10001,10393
10001,10394
10001,10395
10001,10396
10001,10397
10001,10398
10001,10399
10001,10400
10001,10401
10001,10402
10001,10403
10001,10404
10001,10405
10001,10406
10001,10407
10001,10408
10001,10409
10001,10410
10001,10411
10001,10412
10001,10413
10001,10414
10001,10415
10001,10416
10001,10417
10001,10418
10001,10419
10001,10420
10001,10421
10001,10422
10001,10423
10001,10424
10001,10425
10001,10426
10001,10427
10001,10428
10001,10429
10001,10430
10001,10431
10001,10432
10001,10433
10001,10434
10001,10435
10001,10436
10001,10437
10001,10438
10001,10439
10001,10440
10001,10441
10001,10442
10001,10443
10001,10444
10001,10445
10001,10446
10001,10447
10001,10448
10001,10449
10001,10450
10001,10451
10001,10452
10001,10453
10001,10454
10001,10455
10001,10456
10001,10457
10001,10458
10001,10459
10001,10460
10001,10461
10001,10462
10001,10463
10001,10464
10001,10465
10001,10466
10001,10467
10001,10468
10001,10469
10001,10470
10001,10471
10001,10472
10001,10473
10001,10474
10001,10475
10001,10476
10001,10477
10001,10478
10001,10479
10001,10480
10001,10481
10001,10482
10001,10483
10001,10484
10001,10485
10001,10486
10001,10487
10001,10488
10001,10489
10001,10490
10001,10491
10001,10492
10001,10493
10001,10494
10001,10495
10001,10496
10001,10497
10001,10498
10001,10499
10001,10500
10001,10501
10001,10502
10001,10503
10001,10504
10001,10505
10001,10506
10001,10507
10001,10508
10001,10509
10001,10510
10001,10511
10001,10512
10001,10513
10001,10514
10001,10515
10001,10516
10001,10517
10001,10518
10001,10519
10001,10520
10001,10521
10001,10522
10001,10523
10001,10524
10001,10525
10001,10526
10001,10527
10001,10528
10001,10529
10001,10530
10001,10531
10001,10532
10001,10533
10001,10534
10001,10535
10001,10536
10001,10537
10001,10538
10001,10539
10001,10540
10001,10541
10001,10542
10001,10543
10001,10544
